time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000022297,-1.999977822,0.072306669,0.030922259,-2.0,-2.0,0.050029904,-0.0,2.2297e-05,-2.2178e-05,-0.022276765,-0.030922259
0.04,-2.000095134,-1.999928143,0.049985179,0.032060094,-2.0,-2.0,0.050059808,-0.0,9.5134e-05,-7.1857e-05,7.4629e-05,-0.032060094
0.07,-2.000221427,-1.999833896,0.050164026,0.032195094,-2.0,-2.0,0.050089742,-0.0,0.000221427,-0.000166104,-7.4284e-05,-0.032195094
0.11,-2.000450555,-1.999642836,0.037303965,0.033011879,-2.0,-2.0,0.050129732,-0.0,0.000450555,-0.000357164,0.012825767,-0.033011879
0.14,-2.00065752,-1.999460152,0.046486978,0.023265943,-2.0,-2.0,0.050159731,-7.6884e-05,0.00065752,-0.000539848,0.003672753,-0.023342827
0.17,-2.000905683,-1.999242226,0.046896468,0.022430943,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000905684,-0.000757773,0.003497681,-0.023358401
0.21,-2.001270057,-1.998922731,0.053145002,0.010555275,-1.999998653,-1.999999645,0.05192365,-0.004080178,0.001271404,-0.001076915,-0.001221352,-0.014635454
0.24,-2.00158546,-1.998649291,0.056161229,0.004629885,-1.999994254,-1.999998394,0.054040266,-0.007670049,0.001591206,-0.001349103,-0.002120963,-0.012299933
0.27,-2.001938826,-1.998331066,0.059483825,0.000177385,-1.999987197,-1.999996125,0.056833563,-0.011994324,0.001951629,-0.001665059,-0.002650263,-0.012171709
0.31,-2.002447404,-1.997815931,0.065438269,-0.009911718,-1.999975162,-1.999991094,0.061728104,-0.018869219,0.002472242,-0.002175163,-0.003710165,-0.008957501
0.34,-2.002877953,-1.997367996,0.068758257,-0.014093358,-1.999964248,-1.999985695,0.06621163,-0.024689194,0.002913705,-0.002617699,-0.002546627,-0.010595836
0.37,-2.00336505,-1.996867298,0.074454976,-0.020240858,-1.999950518,-1.999979219,0.071246153,-0.030904394,0.003414532,-0.003111921,-0.003208824,-0.010663536
0.41,-2.004078242,-1.996138009,0.082424556,-0.032282142,-1.999925976,-1.999969523,0.078901046,-0.039786194,0.004152266,-0.003831513,-0.00352351,-0.007504052
0.44,-2.004639076,-1.995531068,0.086736417,-0.035812501,-1.99990442,-1.999962351,0.085295221,-0.046803043,0.004734657,-0.004431283,-0.001441196,-0.010990542
0.47,-2.005231559,-1.994878935,0.094251397,-0.042942501,-1.999881228,-1.999955585,0.092132928,-0.054031508,0.005350331,-0.00507665,-0.002118469,-0.011089007
0.51,-1.940988203,-2.071641187,0.102778218,-0.053577597,-1.999845542,-1.999947727,0.102010239,-0.063988001,-0.058857339,0.07169346,-0.00076798,-0.010410404
0.54,-1.940425968,-2.07239276,0.108662328,-0.062995107,-1.999813966,-1.999943356,0.109946771,-0.071645575,-0.059387998,0.072449404,0.001284443,-0.008650468
0.57,-1.939912323,-2.073103572,0.117517423,-0.070777607,-1.999779565,-1.999940608,0.118244517,-0.079415094,-0.059867241,0.073162964,0.000727094,-0.008637487
