time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999975384,-2.000034819,0.067292278,0.039558258,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000024616,0.000034819,-0.017262374,-0.039558258
0.040000000,-1.999890135,-2.000127624,0.049594975,0.021180054,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000109865,0.000127624,0.000464832,-0.021180054
0.070000000,-1.999750484,-2.000295484,0.049480873,0.020705054,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000249516,0.000295484,0.000608869,-0.020705054
0.110000000,-1.999472278,-2.000607690,0.059188291,0.013510420,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000527722,0.000607690,-0.009058559,-0.013510420
0.140000000,-1.999216455,-2.000901970,0.045369891,0.000884896,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000783545,0.000901970,0.004789841,-0.000961780
0.170000000,-1.998936360,-2.001250161,0.045127137,-0.000325104,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.001063639,0.001250162,0.005267011,-0.000602354
0.210000000,-1.998488709,-2.001803393,0.053500002,-0.001642253,-1.999998689,-1.999999604,0.051923652,-0.004080179,-0.001509980,0.001803788,-0.001576350,-0.002437926
0.240000000,-1.998109681,-2.002286632,0.051603473,-0.008135576,-1.999994438,-1.999998148,0.054040268,-0.007670048,-0.001884757,0.002288484,0.002436796,0.000465528
0.270000000,-1.997679146,-2.002835009,0.053887583,-0.013000576,-1.999987688,-1.999995372,0.056833566,-0.011994315,-0.002308542,0.002839638,0.002945983,0.001006261
0.310000000,-1.997043239,-2.003683237,0.066899000,-0.016725746,-1.999976428,-1.999988642,0.061728108,-0.018869205,-0.002933190,0.003694595,-0.005170891,-0.002143459
0.340000000,-1.996534380,-2.004389553,0.069777756,-0.017836491,-1.999966447,-1.999980727,0.066211635,-0.024689201,-0.003432067,0.004408826,-0.003566122,-0.006852709
0.370000000,-1.995982183,-2.005133114,0.074542985,-0.024351491,-1.999953988,-1.999970489,0.071246157,-0.030904413,-0.003971805,0.005162625,-0.003296827,-0.006552922
0.410000000,-1.995198688,-2.006193752,0.077344930,-0.038260642,-1.999931953,-1.999952780,0.078901051,-0.039786173,-0.004733265,0.006240972,0.001556120,-0.001525531
0.440000000,-1.994572002,-2.007075477,0.086802745,-0.040978470,-1.999913004,-1.999936691,0.085295225,-0.046803001,-0.005341002,0.007138785,-0.001507520,-0.005824531
0.470000000,-1.993917620,-2.008021867,0.093237001,-0.048353470,-1.999893017,-1.999918437,0.092132932,-0.054031497,-0.005975398,0.008103430,-0.001104069,-0.005678027
